Action Name;Time (sequence)(s);Time (action)(s);Shear stress(Pa);Shear rate(s-¹);Shear strain(%);Normal force(N);Complex shear strain(%);Frequency(Hz);Complex shear stress(Pa);Shear modulus (elastic component)(Pa);Shear modulus (viscous component)(Pa);Shear modulus (complex component)(Pa);Torque(N m);Angular displacement(rad);Temperature(°C);Gap(mm)
Pre Shear Initial;112,3;1,000;30,54;47,57;4,75275E+003;0,2044;;;;;;;1,284E-003;4,516;20,93;9,1500
Pre Shear Initial;113,3;2,000;52,87;49,90;9,75316E+003;0,2019;;;;;;;2,223E-003;9,268;20,93;9,1500
Pre Shear Initial;114,3;3,000;53,41;50,00;1,47532E+004;0,1983;;;;;;;2,246E-003;14,02;20,93;9,1500
Pre Shear Initial;115,3;4,000;53,22;50,00;1,97546E+004;0,2017;;;;;;;2,238E-003;18,77;20,93;9,1500
Pre Shear Initial;116,3;5,000;53,12;50,00;2,47538E+004;0,2052;;;;;;;2,233E-003;23,52;20,93;9,1500
Pre Shear Initial;117,3;6,000;53,22;50,00;2,97550E+004;0,2014;;;;;;;2,238E-003;28,27;20,94;9,1500
Pre Shear Initial;118,3;7,000;53,19;50,00;3,47551E+004;0,1977;;;;;;;2,236E-003;33,03;20,94;9,1500
Pre Shear Initial;119,3;8,000;53,21;50,00;3,97552E+004;0,2009;;;;;;;2,237E-003;37,78;20,94;9,1500
Pre Shear Initial;120,3;9,000;53,32;50,00;4,47557E+004;0,2043;;;;;;;2,242E-003;42,53;20,94;9,1500
Pre Shear Initial;121,3;10,00;53,29;50,00;4,97556E+004;0,2019;;;;;;;2,241E-003;47,28;20,94;9,1500
Pre Shear Initial;122,3;11,00;53,30;50,00;5,47562E+004;0,1982;;;;;;;2,241E-003;52,03;20,94;9,1500
Pre Shear Initial;123,3;12,00;53,41;50,00;5,97563E+004;0,1999;;;;;;;2,246E-003;56,78;20,94;9,1500
Pre Shear Initial;124,3;13,00;53,26;50,00;6,47567E+004;0,2039;;;;;;;2,240E-003;61,53;20,94;9,1500
Pre Shear Initial;125,3;14,00;53,29;50,00;6,97567E+004;0,2016;;;;;;;2,241E-003;66,28;20,94;9,1500
Pre Shear Initial;126,3;15,00;53,36;50,00;7,47572E+004;0,1980;;;;;;;2,244E-003;71,04;20,95;9,1500
Pre Shear Initial;127,3;16,00;53,25;50,00;7,97573E+004;0,1990;;;;;;;2,239E-003;75,79;20,95;9,1500
Pre Shear Initial;128,3;17,00;53,35;50,00;8,47573E+004;0,2032;;;;;;;2,243E-003;80,54;20,95;9,1500
Pre Shear Initial;129,3;18,00;53,35;50,00;8,97577E+004;0,2019;;;;;;;2,243E-003;85,29;20,95;9,1500
Pre Shear Initial;130,3;19,00;53,29;50,00;9,47579E+004;0,1972;;;;;;;2,241E-003;90,04;20,95;9,1500
Pre Shear Initial;131,3;20,00;53,39;50,00;9,97584E+004;0,1978;;;;;;;2,245E-003;94,79;20,95;9,1500
Pre Shear Initial;132,3;21,00;53,41;50,00;1,04758E+005;0,2028;;;;;;;2,246E-003;99,54;20,95;9,1500
Pre Shear Initial;133,3;22,00;53,33;50,00;1,09759E+005;0,2022;;;;;;;2,242E-003;104,3;20,95;9,1500
Pre Shear Initial;134,3;23,00;53,37;50,00;1,14759E+005;0,1971;;;;;;;2,244E-003;109,0;20,95;9,1500
Pre Shear Initial;135,3;24,00;53,34;50,00;1,19761E+005;0,1977;;;;;;;2,243E-003;113,8;20,95;9,1500
Pre Shear Initial;136,3;25,00;53,27;50,00;1,24759E+005;0,2019;;;;;;;2,240E-003;118,5;20,95;9,1500
Pre Shear Initial;137,3;26,00;53,46;50,00;1,29759E+005;0,2022;;;;;;;2,248E-003;123,3;20,95;9,1500
Pre Shear Initial;138,3;27,00;53,56;50,00;1,34761E+005;0,1980;;;;;;;2,252E-003;128,1;20,95;9,1500
Pre Shear Initial;139,3;28,00;53,48;50,00;1,39760E+005;0,1970;;;;;;;2,249E-003;132,8;20,95;9,1500
Pre Shear Initial;140,3;29,00;53,42;50,00;1,44761E+005;0,2016;;;;;;;2,246E-003;137,6;20,95;9,1500
Pre Shear Initial;141,3;30,00;53,42;50,00;1,49761E+005;0,2027;;;;;;;2,246E-003;142,3;20,95;9,1500
Pre Shear Initial;142,3;31,00;53,48;50,00;1,54762E+005;0,1985;;;;;;;2,249E-003;147,1;20,95;9,1500
Pre Shear Initial;143,3;32,00;53,59;50,00;1,59762E+005;0,1967;;;;;;;2,253E-003;151,8;20,96;9,1500
Pre Shear Initial;144,3;33,00;53,52;50,00;1,64762E+005;0,2009;;;;;;;2,250E-003;156,6;20,96;9,1500
Pre Shear Initial;145,3;34,00;53,49;50,00;1,69762E+005;0,2030;;;;;;;2,249E-003;161,3;20,96;9,1500
Pre Shear Initial;146,3;35,00;53,60;50,00;1,74763E+005;0,1986;;;;;;;2,254E-003;166,1;20,96;9,1500
Pre Shear Initial;147,3;36,00;53,62;50,00;1,79763E+005;0,1963;;;;;;;2,255E-003;170,8;20,96;9,1500
