Filename,Anais Ducrot YS sedimentation 65pc_L0_mixed_bottom
Instrument name,5343-1581
Operator,Anais Ducrot 
rundate,02/04/2026
Sample name,65pc_L0_mixed_bottom
Geometry name,40.0mm CrossHatched Parallel Plates
Procedure name,Peak hold
,Peak hold
,Flow sweep
,Flow sweep
,Peak hold
,Peak hold
,Amplitude sweep
proceduresegments,Peak hold#Peak hold#Flow sweep#Flow sweep#Peak hold#Peak hold#Amplitude sweep
[File Parameters]
Name,Anais Ducrot YS sedimentation 65pc_L0_mixed_bottom
Instrument type,Discovery HR30
Instrument serial number,5343-1581
Instrument name,5343-1581
Instrument location,HR30
Company name,ESA
Trios version,5.7.1.74
File name,C:\ProgramData\TA Instruments\TRIOS\Discovery HR-2\DATA\05 Anais\02.04\65pc_L0\Anais Ducrot YS sedimentation 65pc_L0_mixed_bottom.tri
Instrument firmware version,11.35
Run date,02/04/2026 14:41:52
User at run start,TPC-TECQ-0235\Dsc2500
[Geometry Parameters]
Geometry Type,Parallel plate
Name,40.0mm CrossHatched Parallel Plates
Diameter,40.0 mm
Gap,1000 µm
Loading gap,60000 µm
Trim gap offset,75 µm
Disposable,No
Material,Stainless steel
Environmental System,Peltier plate
Surface finish,CrossHatched
Disposable,No
Solvent Trap,Yes
Notes,
[Geometry Extended Parameters]
Expansion coefficient,0.488209 µm/°C
Expansion coefficient enabled,yes
Compliance,1.03 mrad/N.m
Geometry Inertia,7.81255 µN.m.s²
Friction,0.295874 µN.m/(rad/s)
Friction correction enabled,yes
Stress constant,79577.5 Pa/N.m
Strain constant,20.0 1/rad
Normal Stress Constant,1591.55 Pa/N
Fluid Density Constant,8.37758e-11
[Instrument Options]
ETC camera available,no
Friction,0.295874 µN.m/(rad/s)
Friction calibration date,02/04/2026 13:29:05
Friction correction enabled,yes
Rotational mapping date,02/04/2026 13:35:01
Rotational mapping geometry,40.0mm CrossHatched Parallel Plates
Rotational mapping number of iterations,2
Rotational mapping type,standard
Smart swap enabled,no
[Temperature Options]
Current temperature system compensation,0.488209 µm/°C
Current temperature system offset,0.090 °C
Current temperature system span,1.000
Gap temperature compensation calibration date,12/03/2026 10:39:14
Gap temperature compensation enabled,yes
Purge gas only (no active cooling),no
Temperature control enabled,yes
Temperature system control,Peltier plate
Upper temperature system fitted,no
Temperature wait duration,00:00:10 hh:mm:ss
Temperature wait tolerance,0.200000 °C
[Inertia Options]
Instrument inertia,20.7204 µN.m.s²
Instrument inertia calibration date,29/09/2025 13:39:09
[Gap Options]
Axial force for sample compression,1.00000 N
Closure distance,1000.000 µm
Closure profile,none
Closure velocity,100.000 µm/s
Gap velocity (coarse),32000.0 µm/s
Gap velocity (fine),3000.00 µm/s
Gap velocity (other),32000.0 µm/s
Gap zero mode,standard (DHR) or deceleration (AR)
Gap handling at start of test,Flag mismatches between geometry and instrument gap
Gap tolerance,4.000 µm
Gap wait duration,00:00:02 hh:mm:ss
Override wait for gap,no
[Axial Force Control]
Axial force action outside range,Return to window
Control axial force active,no
Control axial force max gap change up,10000.000 µm
Control axial force min gap change down,10000.000 µm
Control axial force sensitivity,0.200000 N
Control axial force set initial value,yes
Control axial force type,Compression
Controlled axial force,5.00000 N
[Flow Options]
Flow collect all points,yes
Flow collect negative shear rate data,yes
Flow inertia correction,yes
Flow non-steady state minimum velocity,1.00000e-6 rad/s
Flow torque limit,0.0100000 µN.m
Flow velocity limit,1.00000e-6 rad/s
Flow velocity tolerance,5.00000 %
Flow zero strain at start of step,yes
[Oscillation Options]
Oscillation displacement limit,1.00000e-5 rad
Oscillation displacement tolerance,5.00000 %
Oscillation raw phase limit,170.000 °
Oscillation torque limit,0.100000 µN.m
Oscillation torque tolerance,1.00000 %
Oscillation velocity tolerance,5.00000 %
[Conditioning Options]
Zero axial force before run,no
Zero speed after preshear,Leave as is
Zero velocity threshold,0.100000 rad/s
[Experiment all steps options]
Maximum axial force limit,50.0000 N
Minimum axial force limit,0.100000 N
Temperature tolerance (results),1.00000 °C
[step]
Peak hold - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress
Pa,1/s,Pa.s,min,°C,Pa
47.86,161.863,0.296,0.0168667,20.00,38.26
43.87,200.050,0.219,0.0334000,20.00,30.71
43.72,200.014,0.219,0.0500000,20.00,29.11
43.64,200.018,0.218,0.0666667,20.00,28.69
43.51,200.018,0.218,0.0834667,20.00,27.87
43.45,200.004,0.217,0.100000,20.00,26.53
43.33,200.004,0.217,0.116667,20.00,23.81
43.22,200.004,0.216,0.133333,20.00,23.66
43.17,200.004,0.216,0.150067,20.00,23.31
43.07,200.000,0.215,0.166733,20.00,21.74
43.05,200.005,0.215,0.183400,20.00,20.28
42.96,200.006,0.215,0.200067,20.00,20.60
42.89,200.006,0.214,0.216733,20.00,20.90
42.86,200.003,0.214,0.233267,20.00,20.40
42.79,200.003,0.214,0.250000,20.00,19.34
42.76,200.007,0.214,0.266600,20.00,18.58
42.70,200.007,0.213,0.283333,20.00,18.97
42.64,200.003,0.213,0.300000,20.00,18.98
42.61,200.004,0.213,0.316667,20.00,19.29
42.56,200.003,0.213,0.333333,20.00,18.26
